[2021-12-08 02:10:40,999:17] top1
[2021-12-08 02:10:41,000:19] p1
[2021-12-08 02:10:41,001:21] p1 and p2
[2021-12-08 02:10:41,001:27] top2
[2021-12-08 02:10:41,001:30] p3
[2021-12-08 02:10:41,001:30] p3
[2021-12-08 02:10:41,001:30] p3
[2021-12-08 02:10:41,001:30] p3
[2021-12-08 02:10:41,002:30] p3
[2021-12-08 02:10:41,004:30] p3
[2021-12-08 02:10:41,004:30] p3
[2021-12-08 02:10:41,004:30] p3
[2021-12-08 02:10:41,004:30] p3
[2021-12-08 02:10:41,005:30] p3
[2021-12-08 02:10:41,005:30] p3
[2021-12-08 02:10:41,005:30] p3
[2021-12-08 02:10:41,005:30] p3
[2021-12-08 02:10:41,005:32] top3
